Date,Product,Quantity,Sales
2024/1/1,Product A,5,50
2024/1/1,Product D,1,20
2024/1/1,Product C,3,50
2024/1/1,Product C,3,
2024/1/2,Product B,,
2024/1/2,Product A,8,
2024/1/2,Product D,4,40
2024/1/2,Product D,4,50
2024/1/3,Product C,2,70
2024/1/3,Product B,,
2024/1/3,Product A,1,70
2024/1/3,Product A,,40
2024/1/4,Product D,,
2024/1/4,Product C,,
2024/1/4,Product B,,
2024/1/4,Product B,,
2024/1/5,Product A,,50
2024/1/5,Product D,2,70
2024/1/5,Product C,6,40
2024/1/6,Product B,,
2024/1/6,Product A,7,20
2024/1/6,Product D,3,70
2024/1/7,Product C,4,70
2024/1/7,Product B,,
